codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
41998,41998,INCIDENTE,CONFINS,MG,SBCF,2010-03-18,13:37:00,0
41999,41999,INCIDENTE,GUARULHOS,SP,SBGR,2010-03-18,03:00:00,0
40088,40088,ACIDENTE,UIRAMUTÃ,RR,****,2010-03-19,13:10:00,3
40148,40148,ACIDENTE,CAMPO GRANDE,MS,****,2010-03-19,19:30:00,1
40170,40170,INCIDENTE,MANAUS,AM,SBEG,2010-03-20,11:00:00,0
40210,40210,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-03-20,20:02:00,0
40212,40212,INCIDENTE,UBERLÂNDIA,MG,SBUL,2010-03-20,12:14:00,0
40332,40332,INCIDENTE,MACAÉ,RJ,****,2010-03-20,21:58:00,0
40149,40149,ACIDENTE,LUZIÂNIA,GO,SWUZ,2010-03-21,20:45:00,2
40209,40209,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-03-21,13:46:00,0
41939,41939,INCIDENTE,CONFINS,MG,SBCF,2010-03-22,03:00:00,0
40330,40330,INCIDENTE,RIO DE JANEIRO,RJ,****,2010-03-24,11:35:00,0
42781,42781,INCIDENTE,GUARULHOS,SP,SBGR,2010-03-25,03:00:00,0
40087,40087,ACIDENTE,ANÁPOLIS,GO,SWNS,2010-03-26,10:45:00,4
40089,40089,ACIDENTE,VILA BELA DA SANTÍSSIMA TRINDADE,MT,****,2010-03-28,15:10:00,0
40827,40827,INCIDENTE,PENÁPOLIS,SP,****,2010-03-30,20:45:00,0
40287,40287,INCIDENTE,ITAJAÍ,SC,****,2010-03-31,13:00:00,0
40326,40326,INCIDENTE,RECIFE,PE,****,2010-03-31,15:20:00,0
40288,40288,INCIDENTE,FORTALEZA,CE,SBFZ,2010-04-01,13:16:00,0
40275,40275,INCIDENTE,BRASÍLIA,DF,SBBR,2010-04-02,18:15:00,0
40291,40291,INCIDENTE,CONFINS,MG,SBCF,2010-04-03,20:25:00,0
40251,40251,INCIDENTE,FLORIANÓPOLIS,SC,****,2010-04-04,17:00:00,0
40267,40267,INCIDENTE GRAVE,VERA CRUZ,BA,SNVR,2010-04-04,11:00:00,2
40190,40190,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2010-04-06,02:35:00,3
40171,40171,ACIDENTE,PORTO NACIONAL,TO,SBPN,2010-04-07,18:45:00,2
40269,40269,INCIDENTE GRAVE,ANÁPOLIS,GO,SWNS,2010-04-07,19:30:00,1
40147,40147,ACIDENTE,UNIÃO DA VITÓRIA,PR,SSUV,2010-04-08,14:20:00,3
40250,40250,ACIDENTE,LUZIÂNIA,GO,****,2010-04-08,20:00:00,0
40292,40292,INCIDENTE,CAMPINAS,SP,SBKP,2010-04-08,20:30:00,0
40213,40213,INCIDENTE GRAVE,GOIÂNIA,GO,SWNV,2010-04-09,21:00:00,1
40295,40295,INCIDENTE,RIO BRANCO,AC,SBRB,2010-04-11,19:20:00,0
40214,40214,ACIDENTE,REDENÇÃO,PA,****,2010-04-12,19:30:00,1
40227,40227,INCIDENTE,AREALVA,SP,****,2010-04-12,14:03:00,0
40228,40228,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,2010-04-12,17:17:00,0
40258,40258,INCIDENTE,MONTE ALEGRE,PA,****,2010-04-12,18:10:00,0
40327,40327,INCIDENTE,PORTO ALEGRE,RS,****,2010-04-12,13:13:00,0
40826,40826,INCIDENTE,MARÍLIA,SP,SBML,2010-04-12,13:00:00,0
40248,40248,INCIDENTE,PORTO ALEGRE,RS,SBPA,2010-04-13,18:47:00,0
40262,40262,INCIDENTE,SÃO PAULO,SP,SBSP,2010-04-14,01:42:00,0
40261,40261,INCIDENTE,MACAÉ,RJ,SBME,2010-04-15,13:10:00,0
40270,40270,INCIDENTE GRAVE,PIRASSUNUNGA,SP,SDPY,2010-04-15,20:15:00,0
40323,40323,INCIDENTE,SÃO PAULO,SP,****,2010-04-15,20:20:00,0
40328,40328,ACIDENTE,CORRENTINA,BA,****,2010-04-15,17:25:00,0
40294,40294,INCIDENTE,RIO DE JANEIRO,RJ,****,2010-04-16,20:00:00,0
40352,40352,INCIDENTE,CUIABÁ,MT,****,2010-04-16,20:50:00,0
40412,40412,ACIDENTE,MACAPÁ,AP,****,2010-04-16,21:55:00,0
40247,40247,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,2010-04-17,23:30:00,0
40350,40350,INCIDENTE GRAVE,UIRAMUTÃ,RR,****,2010-04-17,20:30:00,0
40293,40293,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-04-18,16:23:00,0
40413,40413,INCIDENTE,MACAÉ,RJ,SBME,2010-04-18,18:25:00,0
40264,40264,ACIDENTE,CAMPO VERDE,MT,SWOZ,2010-04-20,16:30:00,2
40321,40321,INCIDENTE,LONDRINA,PR,****,2010-04-20,16:11:00,0
40271,40271,ACIDENTE,RECIFE,PE,SNEM,2010-04-21,11:27:00,2
40447,40447,ACIDENTE,MANGARATIBA,RJ,****,2010-04-21,18:55:00,0
40489,40489,INCIDENTE,CAMPINAS,SP,****,2010-04-21,17:01:00,0
40508,40508,INCIDENTE,BELO HORIZONTE,MG,****,2010-04-21,14:44:00,0
40576,40576,INCIDENTE,MACAÉ,RJ,SBME,2010-04-21,18:37:00,0
40577,40577,INCIDENTE,CAMPOS DOS GOYTACAZES,RJ,****,2010-04-21,12:52:00,0
40581,40581,INCIDENTE,RIO DE JANEIRO,RJ,SBJR,2010-04-21,13:20:00,0
40554,40554,ACIDENTE,RESENDE,RJ,****,2010-04-27,18:47:00,8
40572,40572,ACIDENTE,PORTO ALEGRE,RS,SBPA,2010-04-28,14:10:00,0
40819,40819,INCIDENTE,NIQUELÂNDIA,GO,****,2010-04-28,18:30:00,0
41610,41610,INCIDENTE,NAVEGANTES,SC,****,2010-04-29,10:52:00,0
40583,40583,INCIDENTE,SALVADOR,BA,SBSV,2010-04-30,16:35:00,1
40623,40623,INCIDENTE,BELO HORIZONTE,MG,SBBH,2010-04-30,09:55:00,0
40652,40652,INCIDENTE GRAVE,CUIABÁ,MT,SJCY,2010-04-30,19:00:00,0
40573,40573,INCIDENTE GRAVE,ITAPETINGA,BA,****,2010-05-01,15:40:00,2
40575,40575,INCIDENTE,MANAUS,AM,SBEG,2010-05-01,16:15:00,0
40774,40774,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,2010-05-01,02:10:00,0
40579,40579,INCIDENTE,CURITIBA,PR,SBBI,2010-05-04,13:00:00,0
40842,40842,INCIDENTE,SÃO PAULO,SP,****,2010-05-04,18:00:00,0
41629,41629,INCIDENTE,SÃO JOSÉ DOS CAMPOS,SP,SBSJ,2010-05-04,13:19:00,0
40621,40621,INCIDENTE GRAVE,POÇOS DE CALDAS,MG,SBPC,2010-05-05,21:05:00,0
40622,40622,INCIDENTE,BELÉM,PA,****,2010-05-05,17:10:00,0
40821,40821,INCIDENTE,MANICORÉ,AM,****,2010-05-05,09:32:00,0
40620,40620,INCIDENTE GRAVE,GUARULHOS,SP,SBGR,2010-05-06,15:50:00,0
40624,40624,INCIDENTE,SÃO LUÍS,MA,SBSL,2010-05-06,17:05:00,0
40825,40825,INCIDENTE,BELO HORIZONTE,MG,SBBH,2010-05-06,18:48:00,0
40791,40791,INCIDENTE,MANAUS,AM,****,2010-05-07,10:28:00,0
40793,40793,ACIDENTE,PORTO NACIONAL,TO,SBPN,2010-05-07,16:41:00,3
40837,40837,INCIDENTE,CUIABÁ,MT,****,2010-05-07,22:17:00,0
40732,40732,INCIDENTE GRAVE,CAMAÇARI,BA,****,2010-05-08,15:05:00,5
40835,40835,INCIDENTE,UBERABA,MG,****,2010-05-08,13:14:00,0
40843,40843,ACIDENTE,LUCAS DO RIO VERDE,MT,****,2010-05-08,18:30:00,0
40834,40834,INCIDENTE,ILHÉUS,BA,****,2010-05-10,23:55:00,0
40839,40839,ACIDENTE,ITÁPOLIS,SP,****,2010-05-10,20:30:00,0
41665,41665,INCIDENTE,MARABÁ,PA,SBMA,2010-05-11,18:32:00,0
41649,41649,INCIDENTE,SÃO PAULO,SP,SBSP,2010-05-12,19:52:00,0
